Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1912,Stockholm,Aquatique,Baignade, Harold H. Hardwick,Australasie,Men,400M nage libre,Bronze
1912,Stockholm,Aquatique,Baignade, George Ritchie Hodgson,Canada,Men,400M nage libre,Or
1912,Stockholm,Aquatique,Baignade, John Gatenby Hatfield,Royaume-Uni,Men,400M nage libre,Argent
1912,Stockholm,Aquatique,Baignade, Margarete Adler,Autriche,Women,Relais 4X100M nage libre,Bronze
1912,Stockholm,Aquatique,Baignade, Klara Milch,Autriche,Women,Relais 4X100M nage libre,Bronze
1912,Stockholm,Aquatique,Baignade, Josephine Sticker,Autriche,Women,Relais 4X100M nage libre,Bronze
1912,Stockholm,Aquatique,Baignade, Bertha Zahourek,Autriche,Women,Relais 4X100M nage libre,Bronze
1912,Stockholm,Aquatique,Baignade, Jennie Fletcher,Royaume-Uni,Women,Relais 4X100M nage libre,Or
1912,Stockholm,Aquatique,Baignade, Isabella Mary Moore,Royaume-Uni,Women,Relais 4X100M nage libre,Or
1912,Stockholm,Aquatique,Baignade, Annie Speirs,Royaume-Uni,Women,Relais 4X100M nage libre,Or
1912,Stockholm,Aquatique,Baignade, Irene Steer,Royaume-Uni,Women,Relais 4X100M nage libre,Or
1912,Stockholm,Aquatique,Baignade, Wally Dressel,Allemagne,Women,Relais 4X100M nage libre,Argent
1912,Stockholm,Aquatique,Baignade, Louise Otto,Allemagne,Women,Relais 4X100M nage libre,Argent
1912,Stockholm,Aquatique,Baignade, Grete Rosenberg,Allemagne,Women,Relais 4X100M nage libre,Argent
1912,Stockholm,Aquatique,Baignade, Hermine Stindt,Allemagne,Women,Relais 4X100M nage libre,Argent
1912,Stockholm,Aquatique,Baignade, Thomas Sidney Battersby,Royaume-Uni,Men,Relais 4X200M nage libre,Bronze
1912,Stockholm,Aquatique,Baignade, William Foster,Royaume-Uni,Men,Relais 4X200M nage libre,Bronze
1912,Stockholm,Aquatique,Baignade, John Gatenby Hatfield,Royaume-Uni,Men,Relais 4X200M nage libre,Bronze
1912,Stockholm,Aquatique,Baignade, Henry Taylor,Royaume-Uni,Men,Relais 4X200M nage libre,Bronze
1912,Stockholm,Aquatique,Baignade, Leslie Boardman,Australasie,Men,Relais 4X200M nage libre,Or
1912,Stockholm,Aquatique,Baignade, Malcolm Champion,Australasie,Men,Relais 4X200M nage libre,Or
1912,Stockholm,Aquatique,Baignade, Harold H. Hardwick,Australasie,Men,Relais 4X200M nage libre,Or
1912,Stockholm,Aquatique,Baignade, Cecil Healy,Australasie,Men,Relais 4X200M nage libre,Or
1912,Stockholm,Aquatique,Baignade, Harry J. Hebner,États-Unis,Men,Relais 4X200M nage libre,Argent
1912,Stockholm,Aquatique,Baignade, Kenneth Huszagh,États-Unis,Men,Relais 4X200M nage libre,Argent
1912,Stockholm,Aquatique,Baignade, Duke Paoa Kahanamoku,États-Unis,Men,Relais 4X200M nage libre,Argent
1912,Stockholm,Aquatique,Baignade, Perry Mcgillivray,États-Unis,Men,Relais 4X200M nage libre,Argent
1912,Stockholm,Aquatique,Water polo, Victor Boin,Belgique,Men,Water Polo,Bronze
1912,Stockholm,Aquatique,Water polo, Félicien Courbet,Belgique,Men,Water Polo,Bronze
1912,Stockholm,Aquatique,Water polo, Hermann Donners,Belgique,Men,Water Polo,Bronze
1912,Stockholm,Aquatique,Water polo, Albert Durant,Belgique,Men,Water Polo,Bronze
1912,Stockholm,Aquatique,Water polo, Oscar Gregoire,Belgique,Men,Water Polo,Bronze
1912,Stockholm,Aquatique,Water polo, Herman Meyboom,Belgique,Men,Water Polo,Bronze
1912,Stockholm,Aquatique,Water polo, Joseph Pletincx,Belgique,Men,Water Polo,Bronze
1912,Stockholm,Aquatique,Water polo, Isaac Bentham,Royaume-Uni,Men,Water Polo,Or
1912,Stockholm,Aquatique,Water polo, Charles Bugbee,Royaume-Uni,Men,Water Polo,Or
1912,Stockholm,Aquatique,Water polo, George Thomson Cornet,Royaume-Uni,Men,Water Polo,Or
1912,Stockholm,Aquatique,Water polo, Arthur Edwin Hill,Royaume-Uni,Men,Water Polo,Or
1912,Stockholm,Aquatique,Water polo, Paul Radmilovic,Royaume-Uni,Men,Water Polo,Or
1912,Stockholm,Aquatique,Water polo, Charles Sydney Smith,Royaume-Uni,Men,Water Polo,Or
1912,Stockholm,Aquatique,Water polo, George Wilkinson,Royaume-Uni,Men,Water Polo,Or
1912,Stockholm,Aquatique,Water polo, Robert T. Andersson,Suède,Men,Water Polo,Argent
1912,Stockholm,Aquatique,Water polo, Vilhelm Andersson,Suède,Men,Water Polo,Argent
1912,Stockholm,Aquatique,Water polo, Erik Bergqvist,Suède,Men,Water Polo,Argent
1912,Stockholm,Aquatique,Water polo, Max Gumpel,Suède,Men,Water Polo,Argent
1912,Stockholm,Aquatique,Water polo, Pontus Hansson,Suède,Men,Water Polo,Argent
1912,Stockholm,Aquatique,Water polo, Harald S.A. Julin,Suède,Men,Water Polo,Argent
1912,Stockholm,Aquatique,Water polo, K. Torsten Kumfeldt,Suède,Men,Water Polo,Argent
1912,Stockholm,Athlétisme,Athlétisme, Albin Oskar Stenroos,Finlande,Men,10000M,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Hannes Kolehmainen,Finlande,Men,10000M,Or
1912,Stockholm,Athlétisme,Athlétisme, Lewis Tewanina,États-Unis,Men,10000M,Argent
1912,Stockholm,Athlétisme,Athlétisme, Fernando Altimani,Italie,Men,Marche de 10000M,Bronze
1912,Stockholm,Athlétisme,Athlétisme, George Goulding,Canada,Men,Marche de 10000M,Or
1912,Stockholm,Athlétisme,Athlétisme, Ernest Webb,Royaume-Uni,Men,Marche de 10000M,Argent
1912,Stockholm,Athlétisme,Athlétisme, Donald Lippincott,États-Unis,Men,100M,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Ralph Craig,États-Unis,Men,100M,Or
1912,Stockholm,Athlétisme,Athlétisme, I. Alvah Meyer,États-Unis,Men,100M,Argent
1912,Stockholm,Athlétisme,Athlétisme, Martin Hawkins,États-Unis,Men,110M haies,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Frederick Kelly,États-Unis,Men,110M haies,Or
1912,Stockholm,Athlétisme,Athlétisme, James Wendell,États-Unis,Men,110M haies,Argent
1912,Stockholm,Athlétisme,Athlétisme, Norman Taber,États-Unis,Men,1500M,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Arnold Jackson,Royaume-Uni,Men,1500M,Or
1912,Stockholm,Athlétisme,Athlétisme, Abel Kiviat,États-Unis,Men,1500M,Argent
1912,Stockholm,Athlétisme,Athlétisme, William Applegarth,Royaume-Uni,Men,200M,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Ralph Craig,États-Unis,Men,200M,Or
1912,Stockholm,Athlétisme,Athlétisme, Donald Lippincott,États-Unis,Men,200M,Argent
1912,Stockholm,Athlétisme,Athlétisme, William Cottrill,Royaume-Uni,Men,Équipe 3000M,Bronze
1912,Stockholm,Athlétisme,Athlétisme, George William Hutson,Royaume-Uni,Men,Équipe 3000M,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Frank W. Moore,Royaume-Uni,Men,Équipe 3000M,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Edward Owen,Royaume-Uni,Men,Équipe 3000M,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Cyril Henry Atwell Porter,Royaume-Uni,Men,Équipe 3000M,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Tell Schirnding Berna,États-Unis,Men,Équipe 3000M,Or
1912,Stockholm,Athlétisme,Athlétisme, George V. Bonhag,États-Unis,Men,Équipe 3000M,Or
1912,Stockholm,Athlétisme,Athlétisme, Abel Kiviat,États-Unis,Men,Équipe 3000M,Or
1912,Stockholm,Athlétisme,Athlétisme, Henry Louis Scott,États-Unis,Men,Équipe 3000M,Or
1912,Stockholm,Athlétisme,Athlétisme, Norman Taber,États-Unis,Men,Équipe 3000M,Or
1912,Stockholm,Athlétisme,Athlétisme, Bror Fock,Suède,Men,Équipe 3000M,Argent
1912,Stockholm,Athlétisme,Athlétisme, Nils Frykberg,Suède,Men,Équipe 3000M,Argent
1912,Stockholm,Athlétisme,Athlétisme, Thorild Ohlsson,Suède,Men,Équipe 3000M,Argent
1912,Stockholm,Athlétisme,Athlétisme, Ernest Wide,Suède,Men,Équipe 3000M,Argent
1912,Stockholm,Athlétisme,Athlétisme, John Zander,Suède,Men,Équipe 3000M,Argent
1912,Stockholm,Athlétisme,Athlétisme, Edward F. Lindberg,États-Unis,Men,400M,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Charles Decker Reidpath,États-Unis,Men,400M,Or
1912,Stockholm,Athlétisme,Athlétisme, Hans Braun,Allemagne,Men,400M,Argent
1912,Stockholm,Athlétisme,Athlétisme, William Applegarth,Royaume-Uni,Men,Relais 4X100M,Or
1912,Stockholm,Athlétisme,Athlétisme, Victor Henry Augustus D'Arcy,Royaume-Uni,Men,Relais 4X100M,Or
1912,Stockholm,Athlétisme,Athlétisme, David Henry Jacobs,Royaume-Uni,Men,Relais 4X100M,Or
1912,Stockholm,Athlétisme,Athlétisme, Henry Maitland Mackintosh,Royaume-Uni,Men,Relais 4X100M,Or
1912,Stockholm,Athlétisme,Athlétisme, Knut Lindberg,Suède,Men,Relais 4X100M,Argent
1912,Stockholm,Athlétisme,Athlétisme, Karl August Luther,Suède,Men,Relais 4X100M,Argent
1912,Stockholm,Athlétisme,Athlétisme, Ivan Möller,Suède,Men,Relais 4X100M,Argent
1912,Stockholm,Athlétisme,Athlétisme, Ture Persson,Suède,Men,Relais 4X100M,Argent
1912,Stockholm,Athlétisme,Athlétisme, Ernest John Henley,Royaume-Uni,Men,Relais 4X400M,Bronze
1912,Stockholm,Athlétisme,Athlétisme, George Nicol,Royaume-Uni,Men,Relais 4X400M,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Cyril Norman Seedhouse,Royaume-Uni,Men,Relais 4X400M,Bronze
1912,Stockholm,Athlétisme,Athlétisme, James Tindal Soutter,Royaume-Uni,Men,Relais 4X400M,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Edward F. Lindberg,États-Unis,Men,Relais 4X400M,Or
1912,Stockholm,Athlétisme,Athlétisme, James Edwin Meredith,États-Unis,Men,Relais 4X400M,Or
1912,Stockholm,Athlétisme,Athlétisme, Charles Decker Reidpath,États-Unis,Men,Relais 4X400M,Or
1912,Stockholm,Athlétisme,Athlétisme, Melvin Sheppard,États-Unis,Men,Relais 4X400M,Or
1912,Stockholm,Athlétisme,Athlétisme, Pierre Failliot,France,Men,Relais 4X400M,Argent
1912,Stockholm,Athlétisme,Athlétisme, Charles Louis Lelong,France,Men,Relais 4X400M,Argent
1912,Stockholm,Athlétisme,Athlétisme, Charles Alexandre Casimir Poulenard,France,Men,Relais 4X400M,Argent
1912,Stockholm,Athlétisme,Athlétisme, Robert Schurrer,France,Men,Relais 4X400M,Argent
1912,Stockholm,Athlétisme,Athlétisme, George William Hutson,Royaume-Uni,Men,5000M,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Hannes Kolehmainen,Finlande,Men,5000M,Or
1912,Stockholm,Athlétisme,Athlétisme, Jean Bouin,France,Men,5000M,Argent
1912,Stockholm,Athlétisme,Athlétisme, Ira Nelson Davenport,États-Unis,Men,800M,Bronze
1912,Stockholm,Athlétisme,Athlétisme, James Edwin Meredith,États-Unis,Men,800M,Or
1912,Stockholm,Athlétisme,Athlétisme, Melvin Sheppard,États-Unis,Men,800M,Argent
1912,Stockholm,Athlétisme,Athlétisme, John Eke,Suède,Men,Cross Country Individuel,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Hannes Kolehmainen,Finlande,Men,Cross Country Individuel,Or
1912,Stockholm,Athlétisme,Athlétisme, Hjalmar Andersson,Suède,Men,Cross Country Individuel,Argent
1912,Stockholm,Athlétisme,Athlétisme, Ernest Glover,Royaume-Uni,Men,Équipe de cross-country,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Frederick Newton Hibbins,Royaume-Uni,Men,Équipe de cross-country,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Frederick Harkness Humphreys,Royaume-Uni,Men,Équipe de cross-country,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Hjalmar Andersson,Suède,Men,Équipe de cross-country,Or
1912,Stockholm,Athlétisme,Athlétisme, John Eke,Suède,Men,Équipe de cross-country,Or
1912,Stockholm,Athlétisme,Athlétisme, Josef Ternström,Suède,Men,Équipe de cross-country,Or
1912,Stockholm,Athlétisme,Athlétisme, Jalmari Eskola,Finlande,Men,Équipe de cross-country,Argent
1912,Stockholm,Athlétisme,Athlétisme, Hannes Kolehmainen,Finlande,Men,Équipe de cross-country,Argent
1912,Stockholm,Athlétisme,Athlétisme, Albin Oskar Stenroos,Finlande,Men,Équipe de cross-country,Argent
1912,Stockholm,Athlétisme,Athlétisme, Gösta Holmer,Suède,Men,Décathlon,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Jim Thorpe,États-Unis,Men,Décathlon,Or
1912,Stockholm,Athlétisme,Athlétisme, Hugo K. Wieslander,Suède,Men,Décathlon,Or
1912,Stockholm,Athlétisme,Athlétisme, Charles Lomberg,Suède,Men,Décathlon,Argent
1912,Stockholm,Athlétisme,Athlétisme, James Henry Duncan,États-Unis,Men,Lancer du disque,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Armas Rudolf Taipale,Finlande,Men,Lancer du disque,Or
1912,Stockholm,Athlétisme,Athlétisme, Richard Leslie Byrd,États-Unis,Men,Lancer du disque,Argent
1912,Stockholm,Athlétisme,Athlétisme, Emil Magnusson,Suède,Men,"Lancer du disque, les deux mains",Bronze
1912,Stockholm,Athlétisme,Athlétisme, Armas Rudolf Taipale,Finlande,Men,"Lancer du disque, les deux mains",Or
1912,Stockholm,Athlétisme,Athlétisme, Elmer Konstantin Niklander,Finlande,Men,"Lancer du disque, les deux mains",Argent
1912,Stockholm,Athlétisme,Athlétisme, Clarence Chester Childs,États-Unis,Men,Lancer de marteau,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Matthew J. Mcgrath,États-Unis,Men,Lancer de marteau,Or
1912,Stockholm,Athlétisme,Athlétisme, Duncan Gillis,Canada,Men,Lancer de marteau,Argent
1912,Stockholm,Athlétisme,Athlétisme, George Leslie Horine,États-Unis,Men,Saut en hauteur,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Alma Wilfred Richards,États-Unis,Men,Saut en hauteur,Or
1912,Stockholm,Athlétisme,Athlétisme, Hans Liesche,Allemagne,Men,Saut en hauteur,Argent
1912,Stockholm,Athlétisme,Athlétisme, Konstantinos Tsiclitiras,Grèce,Men,"Saut en hauteur, debout",Bronze
1912,Stockholm,Athlétisme,Athlétisme, Platt Adams,États-Unis,Men,"Saut en hauteur, debout",Or
1912,Stockholm,Athlétisme,Athlétisme, Benjamin W. Adams,États-Unis,Men,"Saut en hauteur, debout",Argent
1912,Stockholm,Athlétisme,Athlétisme, Mor Kovacs,Hongrie,Men,Lancer du javelot,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Eric Lemming,Suède,Men,Lancer du javelot,Or
1912,Stockholm,Athlétisme,Athlétisme, Juho Julius Saaristo,Finlande,Men,Lancer du javelot,Argent
1912,Stockholm,Athlétisme,Athlétisme, Urho Pellervo Peltonen,Finlande,Men,"Lancer du javelot, à deux mains",Bronze
1912,Stockholm,Athlétisme,Athlétisme, Juho Julius Saaristo,Finlande,Men,"Lancer du javelot, à deux mains",Or
1912,Stockholm,Athlétisme,Athlétisme, Väinö Siikaniemi,Finlande,Men,"Lancer du javelot, à deux mains",Argent
1912,Stockholm,Athlétisme,Athlétisme, Georg Aberg,Suède,Men,Saut en longueur,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Albert Lovejoy Gutterson,États-Unis,Men,Saut en longueur,Or
1912,Stockholm,Athlétisme,Athlétisme, Calvin David Bricker,Canada,Men,Saut en longueur,Argent
1912,Stockholm,Athlétisme,Athlétisme, Benjamin W. Adams,États-Unis,Men,"Saut en longueur, debout",Bronze
1912,Stockholm,Athlétisme,Athlétisme, Konstantinos Tsiclitiras,Grèce,Men,"Saut en longueur, debout",Or
1912,Stockholm,Athlétisme,Athlétisme, Platt Adams,États-Unis,Men,"Saut en longueur, debout",Argent
1912,Stockholm,Athlétisme,Athlétisme, Gaston Strobino,États-Unis,Men,Marathon,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Kennedy Kane Mcarthur,Afrique du Sud,Men,Marathon,Or
1912,Stockholm,Athlétisme,Athlétisme, Christian W. Gitsham,Afrique du Sud,Men,Marathon,Argent
1912,Stockholm,Athlétisme,Athlétisme, Frank Lukeman,Canada,Men,Pentathlon,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Ferdinand Reinhardt Bie,Norvège,Men,Pentathlon,Or
1912,Stockholm,Athlétisme,Athlétisme, Jim Thorpe,États-Unis,Men,Pentathlon,Or
1912,Stockholm,Athlétisme,Athlétisme, James Joseph Donahue,États-Unis,Men,Pentathlon,Argent
1912,Stockholm,Athlétisme,Athlétisme, William Happenny,Canada,Men,Saut à la perche,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Frank Dwyer Murphy,États-Unis,Men,Saut à la perche,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Bertil Uggla,Suède,Men,Saut à la perche,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Harry Stoddard Babcock,États-Unis,Men,Saut à la perche,Or
1912,Stockholm,Athlétisme,Athlétisme, Frank Thayer Nelson,États-Unis,Men,Saut à la perche,Argent
1912,Stockholm,Athlétisme,Athlétisme, Marc Snowell Wright,États-Unis,Men,Saut à la perche,Argent
1912,Stockholm,Athlétisme,Athlétisme, Laurence Atwood Whitney,États-Unis,Men,Lancer du poids,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Patrick Mcdonald,États-Unis,Men,Lancer du poids,Or
1912,Stockholm,Athlétisme,Athlétisme, Ralph Rose,États-Unis,Men,Lancer du poids,Argent
1912,Stockholm,Athlétisme,Athlétisme, Elmer Konstantin Niklander,Finlande,Men,"Lancer du poids, les deux mains",Bronze
1912,Stockholm,Athlétisme,Athlétisme, Ralph Rose,États-Unis,Men,"Lancer du poids, les deux mains",Or
1912,Stockholm,Athlétisme,Athlétisme, Patrick Mcdonald,États-Unis,Men,"Lancer du poids, les deux mains",Argent
1912,Stockholm,Athlétisme,Athlétisme, Erik Almlöf,Suède,Men,Triple saut,Bronze
1912,Stockholm,Athlétisme,Athlétisme, Gustav Lindblom,Suède,Men,Triple saut,Or
1912,Stockholm,Athlétisme,Athlétisme, Georg Aberg,Suède,Men,Triple saut,Argent
1912,Stockholm,Cyclisme,Route cycliste, Carl Otto Schutte,États-Unis,Men,Contre-la-montre individuel,Bronze
1912,Stockholm,Cyclisme,Route cycliste, Rudolph Lewis,Afrique du Sud,Men,Contre-la-montre individuel,Or
1912,Stockholm,Cyclisme,Route cycliste, Frederick Henry Grubb,Royaume-Uni,Men,Contre-la-montre individuel,Argent
1912,Stockholm,Cyclisme,Route cycliste, Albert Krushel,États-Unis,Men,Contre la montre par équipe,Bronze
1912,Stockholm,Cyclisme,Route cycliste, Alvin Hjalmar Loftes,États-Unis,Men,Contre la montre par équipe,Bronze
1912,Stockholm,Cyclisme,Route cycliste, Walter C. Martin,États-Unis,Men,Contre la montre par équipe,Bronze
1912,Stockholm,Cyclisme,Route cycliste, Carl Otto Schutte,États-Unis,Men,Contre la montre par équipe,Bronze
1912,Stockholm,Cyclisme,Route cycliste, Erik Friborg,Suède,Men,Contre la montre par équipe,Or
1912,Stockholm,Cyclisme,Route cycliste, Algot Lönn,Suède,Men,Contre la montre par équipe,Or
1912,Stockholm,Cyclisme,Route cycliste, Ragnar Malm,Suède,Men,Contre la montre par équipe,Or
1912,Stockholm,Cyclisme,Route cycliste, Axel Wilhelm Persson,Suède,Men,Contre la montre par équipe,Or
1912,Stockholm,Cyclisme,Route cycliste, Frederick Henry Grubb,Royaume-Uni,Men,Contre la montre par équipe,Argent
1912,Stockholm,Cyclisme,Route cycliste, William Robert Hammond,Royaume-Uni,Men,Contre la montre par équipe,Argent
1912,Stockholm,Cyclisme,Route cycliste, Leonard Lewis Meredith,Royaume-Uni,Men,Contre la montre par équipe,Argent
1912,Stockholm,Cyclisme,Route cycliste, Charles Moss,Royaume-Uni,Men,Contre la montre par équipe,Argent
1912,Stockholm,Équitation,Dressage, Hans Von Blixen-Finecke,Suède,Men,Individuel,Bronze
1912,Stockholm,Équitation,Dressage, Carl Bonde,Suède,Men,Individuel,Or
1912,Stockholm,Équitation,Dressage, Gustaf-Adolf Boltenstern,Suède,Men,Individuel,Argent
1912,Stockholm,Équitation,Concours complet d'équitation, J Cariou,France,Men,Individuel,Bronze
1912,Stockholm,Équitation,Concours complet d'équitation, Axel Nordlander,Suède,Men,Individuel,Or
1912,Stockholm,Équitation,Concours complet d'équitation, Friedrich Leopold Harry Von Rochow,Allemagne,Men,Individuel,Argent
1912,Stockholm,Équitation,Concours complet d'équitation, Ephraim Foster Graham,États-Unis,Men,Équipe,Bronze
1912,Stockholm,Équitation,Concours complet d'équitation, Guy Verner Henry,États-Unis,Men,Équipe,Bronze
1912,Stockholm,Équitation,Concours complet d'équitation, Benjamin Lear,États-Unis,Men,Équipe,Bronze
1912,Stockholm,Équitation,Concours complet d'équitation, John Carter Montgomery,États-Unis,Men,Équipe,Bronze
1912,Stockholm,Équitation,Concours complet d'équitation, Nils Adlercreutz,Suède,Men,Équipe,Or
1912,Stockholm,Équitation,Concours complet d'équitation, Ernst Casparsson,Suède,Men,Équipe,Or
1912,Stockholm,Équitation,Concours complet d'équitation, Henric Horn Af Aminne,Suède,Men,Équipe,Or
1912,Stockholm,Équitation,Concours complet d'équitation, Axel Nordlander,Suède,Men,Équipe,Or
1912,Stockholm,Équitation,Concours complet d'équitation, Eduard Von Lütscken,Allemagne,Men,Équipe,Argent
1912,Stockholm,Équitation,Concours complet d'équitation, Henrich Von Moers,Allemagne,Men,Équipe,Argent
1912,Stockholm,Équitation,Concours complet d'équitation, Friedrich Leopold Harry Von Rochow,Allemagne,Men,Équipe,Argent
1912,Stockholm,Équitation,Concours complet d'équitation, Rudolf Graf Von Schaesberg-Tannheim,Allemagne,Men,Équipe,Argent
1912,Stockholm,Équitation,Sauter, Emmanuel De Blommaert De Soye,Belgique,Men,Individuel,Bronze
1912,Stockholm,Équitation,Sauter, J Cariou,France,Men,Individuel,Or
1912,Stockholm,Équitation,Sauter, Rabod Wilhelm Von Kröcher,Allemagne,Men,Individuel,Argent
1912,Stockholm,Équitation,Sauter, Ernst Hubertus Deloch,Allemagne,Men,Équipe,Bronze
1912,Stockholm,Équitation,Sauter, Sigismund Freyer,Allemagne,Men,Équipe,Bronze
1912,Stockholm,Équitation,Sauter, Wilhelm Von Hohenau,Allemagne,Men,Équipe,Bronze
1912,Stockholm,Équitation,Sauter, Friedrich Karl Von Preussen,Allemagne,Men,Équipe,Bronze
1912,Stockholm,Équitation,Sauter, Gustaf Kilman,Suède,Men,Équipe,Or
1912,Stockholm,Équitation,Sauter, Carl Gustaf Lewenhaupt,Suède,Men,Équipe,Or
1912,Stockholm,Équitation,Sauter, Frederik Rosencrantz,Suède,Men,Équipe,Or
1912,Stockholm,Équitation,Sauter, Hans Von Rosen,Suède,Men,Équipe,Or
1912,Stockholm,Équitation,Sauter, J Cariou,France,Men,Équipe,Argent
1912,Stockholm,Équitation,Sauter, Michel Dufourt D'Astafort,France,Men,Équipe,Argent
1912,Stockholm,Équitation,Sauter, Bernard Meyer,France,Men,Équipe,Argent
1912,Stockholm,Équitation,Sauter, Albert Seigner,France,Men,Équipe,Argent
1912,Stockholm,Clôture,Clôture, Philippe Le Hardy De Beaulieu,Belgique,Men,Épée individuelle,Bronze
1912,Stockholm,Clôture,Clôture, Paul Anspach,Belgique,Men,Épée individuelle,Or
1912,Stockholm,Clôture,Clôture, Ivan Joseph Martin Osiier,Danemark,Men,Épée individuelle,Argent
1912,Stockholm,Clôture,Clôture, Adrianus Egbertus Willem De Jong,Pays-Bas,Men,Équipe Épée,Bronze
1912,Stockholm,Clôture,Clôture, Jetze Doorman,Pays-Bas,Men,Équipe Épée,Bronze
1912,Stockholm,Clôture,Clôture, Leonardus Salomonson,Pays-Bas,Men,Équipe Épée,Bronze
1912,Stockholm,Clôture,Clôture, Willem Peter Hubert Van Blijenburgh,Pays-Bas,Men,Équipe Épée,Bronze
1912,Stockholm,Clôture,Clôture, George Van Rossem,Pays-Bas,Men,Équipe Épée,Bronze
1912,Stockholm,Clôture,Clôture, Henri Anspach,Belgique,Men,Équipe Épée,Or
1912,Stockholm,Clôture,Clôture, Paul Anspach,Belgique,Men,Équipe Épée,Or
1912,Stockholm,Clôture,Clôture, Fernand De Montigny,Belgique,Men,Équipe Épée,Or
1912,Stockholm,Clôture,Clôture, Robert Hennet,Belgique,Men,Équipe Épée,Or
1912,Stockholm,Clôture,Clôture, Jacques Ochs,Belgique,Men,Équipe Épée,Or
1912,Stockholm,Clôture,Clôture, François Rom,Belgique,Men,Équipe Épée,Or
1912,Stockholm,Clôture,Clôture, Gaston C.J.M. Salmon,Belgique,Men,Équipe Épée,Or
1912,Stockholm,Clôture,Clôture, Victor Willems,Belgique,Men,Équipe Épée,Or
1912,Stockholm,Clôture,Clôture, Edgar Montague Amphlett,Royaume-Uni,Men,Équipe Épée,Argent
1912,Stockholm,Clôture,Clôture, John Percy Blake,Royaume-Uni,Men,Équipe Épée,Argent
1912,Stockholm,Clôture,Clôture, Percival May Dawson,Royaume-Uni,Men,Équipe Épée,Argent
1912,Stockholm,Clôture,Clôture, Arthur Francis G. Everitt,Royaume-Uni,Men,Équipe Épée,Argent
1912,Stockholm,Clôture,Clôture, Martin Drummond Holt,Royaume-Uni,Men,Équipe Épée,Argent
1912,Stockholm,Clôture,Clôture, Sydney Martineau,Royaume-Uni,Men,Équipe Épée,Argent
1912,Stockholm,Clôture,Clôture, Robert Cecil Montgomerie,Royaume-Uni,Men,Équipe Épée,Argent
1912,Stockholm,Clôture,Clôture, Edgar Isaac Seligman,Royaume-Uni,Men,Équipe Épée,Argent
1912,Stockholm,Clôture,Clôture, Richard Verderber,Autriche,Men,Feuille individuelle,Bronze
1912,Stockholm,Clôture,Clôture, Nedo Nadi,Italie,Men,Feuille individuelle,Or
1912,Stockholm,Clôture,Clôture, Pietro Speciale,Italie,Men,Feuille individuelle,Argent
1912,Stockholm,Clôture,Clôture, Ervin Meszaros,Hongrie,Men,Sabre individuel,Bronze
1912,Stockholm,Clôture,Clôture, Jenö Fuchs,Hongrie,Men,Sabre individuel,Or
1912,Stockholm,Clôture,Clôture, Béla Bekessy,Hongrie,Men,Sabre individuel,Argent
1912,Stockholm,Clôture,Clôture, Adrianus Egbertus Willem De Jong,Pays-Bas,Men,Équipe Sabre,Bronze
1912,Stockholm,Clôture,Clôture, Hendrik Egb. Willem De Jongh,Pays-Bas,Men,Équipe Sabre,Bronze
1912,Stockholm,Clôture,Clôture, Jetze Doorman,Pays-Bas,Men,Équipe Sabre,Bronze
1912,Stockholm,Clôture,Clôture, Dirk Scalongne,Pays-Bas,Men,Équipe Sabre,Bronze
1912,Stockholm,Clôture,Clôture, Willem Peter Hubert Van Blijenburgh,Pays-Bas,Men,Équipe Sabre,Bronze
1912,Stockholm,Clôture,Clôture, George Van Rossem,Pays-Bas,Men,Équipe Sabre,Bronze
1912,Stockholm,Clôture,Clôture, Laszlo Berti,Hongrie,Men,Équipe Sabre,Or
1912,Stockholm,Clôture,Clôture, Deszö Földes,Hongrie,Men,Équipe Sabre,Or
1912,Stockholm,Clôture,Clôture, Jenö Fuchs,Hongrie,Men,Équipe Sabre,Or
